id,sample,sample_type,patient,platform,lane,forward_file_name,reverse_file_name
EC_FD_AEH_001_C_1,FD_AEH_001_C,T,FD_AEH_001,DNBSEQ,V350033548,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_1.R2.fastq.gz
EC_FD_AEH_001_C_2,FD_AEH_001_C,T,FD_AEH_001,DNBSEQ,V350033548,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_2.R2.fastq.gz
EC_FD_AEH_001_C_3,FD_AEH_001_C,T,FD_AEH_001,DNBSEQ,V350033548,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_3.R2.fastq.gz
EC_FD_AEH_001_C_4,FD_AEH_001_C,T,FD_AEH_001,DNBSEQ,V350033548,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_4.R2.fastq.gz
EC_FD_AEH_001_C_5,FD_AEH_001_C,T,FD_AEH_001,DNBSEQ,E100017630,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_AEH_001_C_5.R2.fastq.gz
EC_FD_BY_025_N_1,FD_BY_025_N,N,FD_BY_025,DNBSEQ,E100030418,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_1.R2.fastq.gz
EC_FD_BY_025_N_2,FD_BY_025_N,N,FD_BY_025,DNBSEQ,V350039615,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_2.R2.fastq.gz
EC_FD_BY_025_N_3,FD_BY_025_N,N,FD_BY_025,DNBSEQ,V350039615,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_3.R2.fastq.gz
EC_FD_BY_025_N_4,FD_BY_025_N,N,FD_BY_025,DNBSEQ,V350039615,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_4.R2.fastq.gz
EC_FD_BY_025_N_5,FD_BY_025_N,N,FD_BY_025,DNBSEQ,V350039615,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_025_N_5.R2.fastq.gz
EC_FD_BY_036_N_1,FD_BY_036_N,N,FD_BY_036,DNBSEQ,E100030427,/data/storage/checked/Endometrial_cancer/EC_FD_BY_036_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_036_N_1.R2.fastq.gz
EC_FD_BY_036_N_2,FD_BY_036_N,N,FD_BY_036,DNBSEQ,E100030427,/data/storage/checked/Endometrial_cancer/EC_FD_BY_036_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_BY_036_N_2.R2.fastq.gz
EC_FD_E_005_N_1,FD_E_005_N,N,FD_E_005,DNBSEQ,V350036061,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_1.R2.fastq.gz
EC_FD_E_005_N_2,FD_E_005_N,N,FD_E_005,DNBSEQ,V350036061,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_2.R2.fastq.gz
EC_FD_E_005_N_3,FD_E_005_N,N,FD_E_005,DNBSEQ,V350036061,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_3.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_3.R2.fastq.gz
EC_FD_E_005_N_4,FD_E_005_N,N,FD_E_005,DNBSEQ,V350036061,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_4.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_4.R2.fastq.gz
EC_FD_E_005_N_5,FD_E_005_N,N,FD_E_005,DNBSEQ,V350038721,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_5.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_E_005_N_5.R2.fastq.gz
EC_FD_L_009_LN_1,FD_L_009_LN,T,FD_L_009,DNBSEQ,V350038319,/data/storage/checked/Endometrial_cancer/EC_FD_L_009_LN_1.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_009_LN_1.R2.fastq.gz
EC_FD_L_009_LN_2,FD_L_009_LN,T,FD_L_009,DNBSEQ,V350038319,/data/storage/checked/Endometrial_cancer/EC_FD_L_009_LN_2.R1.fastq.gz,/data/storage/checked/Endometrial_cancer/EC_FD_L_009_LN_2.R2.fastq.gz
